acousticness,bpm,danceability,energy,genre,instrumentalness,liveness,loudness,mode,popularity,speechiness,tempo,valence,age,hours,while working,exploratory,foreign,anxiety,depression,insomnia,ocd,effects,frequency [classical],frequency [country],frequency [edm],frequency [folk],frequency [gospel],frequency [hip hop],frequency [jazz],frequency [k pop],frequency [latin],frequency [lofi],frequency [metal],frequency [pop],frequency [r&b],frequency [rap],frequency [rock],frequency [video game music],country
-0.57,119.0,1.67,1.02,K pop,-0.19,0.09,5.0,0,0.74,0.16,-4.36,1.79,30,5.36,No,Yes,No,0.3,0.1,0.42,0.19,Improve,Very frequently,Rarely,Never,Very frequently,Never,Rarely,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Sometimes,Never,Very frequently,Never,RO
-0.85,118.0,-1.24,-0.17,Rock,-0.2,-0.24,5.0,0,0.43,0.05,-4.35,-1.54,26,21.64,Yes,Yes,No,0.42,0.29,0.99,0.35,Improve,Very frequently,Rarely,Very frequently,Rarely,Never,Never,Sometimes,Never,Rarely,Rarely,Sometimes,Rarely,Never,Never,Very frequently,Sometimes,ZA
-1.1,112.0,-0.0,0.96,Rock,-0.18,-0.24,2.5,1,0.66,0.05,-4.36,1.22,60,15.56,Yes,Yes,No,0.49,0.63,0.74,0.3,Improve,Very frequently,Never,Never,Very frequently,Never,Very frequently,Sometimes,Rarely,Sometimes,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Sometimes,TR
0.4,113.0,0.29,-1.48,Rock,-0.2,-0.88,5.0,0,0.49,0.05,-4.36,0.03,40,10.22,Yes,No,No,0.28,0.26,0.3,0.17,No effect,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Never,Rarely,Rarely,Very frequently,Very frequently,Sometimes,Rarely,Very frequently,Rarely,SE
0.52,101.0,-0.81,1.73,Rock,-0.19,-1.05,3.5,0,0.72,0.09,-4.36,0.87,44,6.0,Yes,No,No,0.0,0.1,0.0,0.2,Improve,Never,Sometimes,Never,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Rarely,Very frequently,Never,Very frequently,Never,NG
-0.45,119.0,-0.95,0.66,Rock,-0.19,-0.8,3.5,1,0.61,0.09,-4.36,0.17,26,17.61,Yes,No,Yes,0.92,0.7,0.62,0.5,Improve,Very frequently,Rarely,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Sometimes,Very frequently,Very frequently,Very frequently,Never,Very frequently,Never,TR
1.6,114.0,0.29,-2.73,Rock,-0.19,0.01,9.5,0,0.31,0.05,-4.36,-0.97,54,1.48,Yes,Yes,No,0.19,0.56,0.59,0.07,Improve,Never,Never,Rarely,Very frequently,Never,Never,Never,Never,Never,Sometimes,Sometimes,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,PH
-0.77,103.0,-0.59,1.55,Rock,-0.19,-0.32,2.0,0,0.64,0.07,-4.36,0.08,48,5.78,Yes,Yes,No,0.42,0.44,0.11,0.19,Improve,Very frequently,Never,Sometimes,Sometimes,Sometimes,Very frequently,Sometimes,Never,Never,Rarely,Rarely,Very frequently,Never,Rarely,Very frequently,Never,TR
-0.81,117.0,0.21,-1.54,Rock,-0.2,-0.48,8.0,0,0.59,0.09,-4.35,0.03,63,15.05,Yes,Yes,No,0.21,0.6,0.26,0.14,Improve,Never,Sometimes,Very frequently,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Very frequently,Sometimes,TR
-0.89,107.0,0.73,0.84,Rock,-0.2,-0.96,2.5,0,0.74,0.05,-4.36,1.52,43,15.21,Yes,Yes,No,0.51,0.85,0.17,0.28,No effect,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Very frequently,Never,Very frequently,Sometimes,Sometimes,TR
-1.06,117.0,-0.88,-0.23,Rock,-0.2,-0.4,5.0,0,0.61,0.05,-4.36,-0.05,58,10.29,Yes,Yes,No,0.9,0.8,0.94,0.37,Improve,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,Never,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Rarely,Very frequently,Very frequently,AE
-1.06,117.0,-2.7,1.2,Rock,-0.19,-0.88,4.0,1,0.71,0.09,-4.36,-0.45,41,10.29,Yes,Yes,No,0.9,0.8,0.94,0.37,Improve,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,Never,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Rarely,Very frequently,Very frequently,TR
1.81,121.0,-1.1,-1.96,Rock,-0.19,1.71,7.0,0,0.47,0.09,-4.36,-1.15,22,10.29,Yes,Yes,No,0.9,0.8,0.94,0.37,Improve,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,Never,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Rarely,Very frequently,Very frequently,SE
0.35,100.0,-1.03,0.19,Rock,-0.2,-0.72,4.0,0,0.58,0.07,-4.36,1.09,24,10.22,Yes,No,No,0.28,0.26,0.3,0.17,No effect,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Never,Rarely,Rarely,Very frequently,Very frequently,Sometimes,Rarely,Very frequently,Rarely,SE
0.92,108.0,1.89,-0.71,Rock,-0.2,-0.96,4.5,0,0.54,0.09,-4.36,1.57,57,8.53,No,No,Yes,0.47,0.9,0.36,0.21,Improve,Very frequently,Never,Rarely,Rarely,Rarely,Never,Never,Very frequently,Rarely,Sometimes,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,Never,SE
1.81,121.0,-1.1,-1.96,Rock,-0.19,1.71,7.0,0,0.47,0.09,-4.36,-1.15,28,17.61,Yes,No,Yes,0.92,0.7,0.62,0.5,Improve,Very frequently,Rarely,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Sometimes,Very frequently,Very frequently,Very frequently,Never,Very frequently,Never,VE
-0.21,106.0,-0.0,-0.29,Rock,-0.19,-0.8,6.5,1,0.75,0.05,-4.36,1.61,20,6.7,Yes,No,No,0.64,0.47,0.33,0.27,No effect,Sometimes,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Very frequently,Never,Never,Never,Very frequently,Rarely,Very frequently,Very frequently,Rarely,SV
1.36,111.0,-0.51,0.24,Rock,-0.19,-0.24,6.0,0,0.66,0.05,-4.36,-0.05,47,23.73,No,Yes,No,0.94,0.27,0.79,0.62,Improve,Rarely,Rarely,Rarely,Never,Rarely,Very frequently,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Sometimes,Rarely,Sometimes,Rarely,DE
-1.02,103.0,0.36,1.26,Metal,-0.18,-0.56,2.0,1,0.72,0.05,-4.36,1.52,31,23.69,No,Yes,No,0.55,0.21,0.52,0.38,Improve,Rarely,Very frequently,Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Very frequently,Rarely,Never,Never,Sometimes,Very frequently,TR
-1.1,103.0,-0.81,1.79,Rock,-0.18,1.71,2.0,1,0.58,0.07,-4.36,1.04,63,6.7,Yes,No,No,0.64,0.47,0.33,0.27,No effect,Sometimes,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Very frequently,Never,Never,Never,Very frequently,Rarely,Very frequently,Very frequently,Rarely,IT
-0.69,122.0,-0.44,1.08,Rock,-0.2,1.71,3.0,0,0.45,0.07,-4.36,0.17,53,10.29,Yes,Yes,No,0.9,0.8,0.94,0.37,Improve,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,Never,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Rarely,Very frequently,Very frequently,BR
-0.01,120.0,0.43,0.54,Rock,-0.19,0.74,5.5,0,0.62,0.09,-4.36,1.44,61,1.48,Yes,Yes,No,0.19,0.56,0.59,0.07,Improve,Never,Never,Rarely,Very frequently,Never,Never,Never,Never,Never,Sometimes,Sometimes,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,SE
0.35,103.0,0.8,1.37,Rock,-0.19,0.41,4.5,1,0.73,0.07,-4.36,1.79,64,1.48,Yes,Yes,No,0.19,0.56,0.59,0.07,Improve,Never,Never,Rarely,Very frequently,Never,Never,Never,Never,Never,Sometimes,Sometimes,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,LT
-0.65,110.0,2.04,-0.71,Rock,-0.19,-0.07,3.0,0,0.74,0.29,-4.36,0.95,21,3.16,Yes,Yes,Yes,0.48,0.22,0.45,0.18,Improve,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,DO
-0.57,119.0,-1.1,0.6,Rock,-0.19,2.28,4.5,0,0.8,0.07,-4.36,-0.14,38,6.0,Yes,No,No,0.0,0.1,0.0,0.2,Improve,Never,Sometimes,Never,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Rarely,Very frequently,Never,Very frequently,Never,GR
0.44,117.0,0.43,-1.42,Rock,-0.18,-0.15,7.0,1,0.48,0.07,-4.36,0.47,32,15.56,Yes,Yes,No,0.49,0.63,0.74,0.3,Improve,Very frequently,Never,Never,Very frequently,Never,Very frequently,Sometimes,Rarely,Sometimes,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Sometimes,SE
-0.97,117.0,0.07,0.36,Rock,-0.19,3.9,4.5,0,0.66,0.09,-4.36,1.17,22,15.05,Yes,Yes,No,0.21,0.6,0.26,0.14,Improve,Never,Sometimes,Very frequently,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Very frequently,Sometimes,AR
-1.1,101.0,-2.48,1.08,Metal,-0.2,-0.64,4.0,0,0.71,0.07,-4.36,0.21,64,20.43,No,Yes,No,0.95,0.54,0.81,0.52,Improve,Rarely,Very frequently,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Rarely,Sometimes,Sometimes,Never,Never,Never,TR
-0.45,121.0,0.51,-1.54,Rock,-0.2,-0.96,8.5,0,0.6,0.05,-4.35,1.09,48,3.16,Yes,Yes,Yes,0.48,0.22,0.45,0.18,Improve,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,NG
1.4,105.0,-1.68,0.13,Rock,-0.2,1.95,3.0,0,0.59,0.16,-4.36,-1.06,62,10.27,Yes,No,Yes,0.91,0.43,0.81,0.41,Improve,Very frequently,Rarely,Never,Sometimes,Never,Rarely,Sometimes,Very frequently,Very frequently,Never,Never,Sometimes,Rarely,Sometimes,Very frequently,Rarely,SV
-1.06,112.0,-1.68,0.6,Rock,-0.2,-0.8,5.5,0,0.64,0.09,-4.36,-1.37,32,3.16,Yes,Yes,Yes,0.48,0.22,0.45,0.18,Improve,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,TR
-1.1,104.0,-0.44,0.84,Rock,-0.19,1.14,2.0,0,0.68,0.07,-4.36,1.83,20,15.21,Yes,Yes,No,0.51,0.85,0.17,0.28,No effect,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Very frequently,Never,Very frequently,Sometimes,Sometimes,CZ
-0.93,103.0,0.43,-0.23,K pop,-0.2,-0.72,7.0,0,0.44,0.05,-4.36,1.48,43,2.93,Yes,Yes,No,0.45,0.74,0.97,0.17,Improve,Rarely,Never,Never,Very frequently,Never,Rarely,Never,Never,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Rarely,TR
-1.02,110.0,0.07,-1.06,Rock,-0.19,-0.96,8.0,0,0.57,0.05,-4.36,0.52,49,15.05,Yes,Yes,No,0.21,0.6,0.26,0.14,Improve,Never,Sometimes,Very frequently,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Very frequently,Sometimes,NG
-1.1,115.0,-0.0,-0.77,Rock,-0.2,-0.56,7.0,0,0.58,0.05,-4.36,-0.4,54,15.31,No,No,Yes,0.35,0.44,0.22,0.17,No effect,Never,Never,Rarely,Never,Never,Never,Sometimes,Rarely,Never,Very frequently,Rarely,Rarely,Rarely,Rarely,Very frequently,Sometimes,TR
-0.73,100.0,-0.08,1.67,Rock,-0.18,-0.64,3.0,1,0.66,0.27,-4.36,0.95,24,10.27,Yes,No,Yes,0.91,0.43,0.81,0.41,Improve,Very frequently,Rarely,Never,Sometimes,Never,Rarely,Sometimes,Very frequently,Very frequently,Never,Never,Sometimes,Rarely,Sometimes,Very frequently,Rarely,ZA
-0.89,120.0,0.07,0.84,Rock,-0.2,-0.88,3.5,0,0.44,0.05,-4.36,0.74,24,15.05,Yes,Yes,No,0.21,0.6,0.26,0.14,Improve,Never,Sometimes,Very frequently,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Very frequently,Sometimes,TR
-0.64,133.0,-0.95,1.9,Metal,-0.2,3.71,-1.21,0,0.56,0.05,-4.36,0.25,17,21.33,Yes,Yes,No,0.48,0.96,0.23,0.45,Improve,Sometimes,Very frequently,Very frequently,Very frequently,Never,Very frequently,Sometimes,Never,Never,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Rarely,IT
0.92,129.0,-0.37,0.42,Rock,-0.19,-0.72,4.0,0,0.43,0.07,-4.36,0.08,15,19.13,Yes,Yes,Yes,0.6,0.95,0.37,0.49,Improve,Very frequently,Never,Sometimes,Sometimes,Never,Very frequently,Very frequently,Never,Never,Never,Never,Very frequently,Never,Very frequently,Very frequently,Never,SE
-0.93,133.0,0.61,-1.18,K pop,-0.2,0.04,-2.84,1,0.56,0.1,-4.36,-0.93,19,2.0,Yes,Yes,Yes,0.7,0.6,0.5,0.1,Improve,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Sometimes,Never,Sometimes,Very frequently,Rarely,Sometimes,Sometimes,TR
2.85,133.0,-1.18,-3.16,Classical,7.67,-0.43,-10.01,0,0.56,0.03,-4.36,1.0,24,3.0,Yes,No,Yes,0.9,0.6,0.1,0.1,Improve,Very frequently,Never,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Never,Never,SA
0.81,133.0,-0.06,0.67,K pop,-0.2,-0.61,-2.02,1,0.56,0.05,-4.36,0.26,18,3.0,Yes,Yes,Yes,0.8,0.4,0.7,0.5,Improve,Sometimes,Never,Never,Never,Never,Sometimes,Never,Very frequently,Never,Rarely,Never,Sometimes,Very frequently,Rarely,Sometimes,Rarely,MY
0.31,131.0,-2.48,0.84,K pop,-0.19,-0.48,4.0,1,0.29,0.09,-4.36,-1.24,18,2.0,Yes,Yes,Yes,0.6,0.0,0.0,0.0,Improve,Rarely,Never,Sometimes,Never,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Never,TR
-0.73,133.0,-0.53,-0.05,K pop,-0.2,0.87,-2.29,0,0.56,0.08,-4.37,-1.24,16,4.0,Yes,Yes,Yes,0.8,0.9,0.4,0.0,Improve,Very frequently,Rarely,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Very frequently,Sometimes,Very frequently,Very frequently,Very frequently,Sometimes,Rarely,Sometimes,Rarely,ZA
-0.57,129.0,-0.44,-1.54,Rock,-0.18,-0.8,7.0,1,0.46,0.11,-4.36,-1.72,14,12.0,Yes,Yes,Yes,0.8,0.6,1.0,0.5,Improve,Sometimes,Sometimes,Rarely,Rarely,Rarely,Very frequently,Sometimes,Never,Never,Very frequently,Never,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,TR
-0.97,134.0,0.51,1.02,Rock,-0.19,5.52,3.0,0,0.69,0.09,-4.36,1.44,19,6.0,Yes,Yes,Yes,0.4,0.2,0.0,0.0,Improve,Never,Never,Rarely,Very frequently,Never,Rarely,Rarely,Never,Very frequently,Rarely,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Rarely,FR
2.88,133.0,-0.72,-2.42,Classical,7.0,-0.57,-4.88,1,0.56,0.07,-4.36,1.59,24,6.0,Yes,No,No,0.6,0.7,0.2,0.0,No effect,Very frequently,Never,Sometimes,Never,Never,Never,Never,Very frequently,Never,Never,Never,Never,Never,Never,Rarely,Never,SA
-1.1,145.0,-1.97,1.55,Metal,-0.18,0.57,2.0,1,0.65,0.16,-4.36,-1.19,21,5.0,Yes,Yes,Yes,0.8,0.7,0.7,0.4,Improve,Rarely,Never,Sometimes,Never,Never,Very frequently,Sometimes,Never,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,TR
-1.1,135.0,-0.88,0.07,Metal,-0.18,0.33,2.0,1,0.64,0.05,-4.36,-1.41,15,5.0,Yes,Yes,No,0.6,0.7,0.8,0.2,Improve,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Never,ZA
2.3,133.0,-1.27,-3.03,K pop,-0.2,-0.45,-4.12,1,0.56,0.07,-4.36,-1.34,20,1.0,Yes,Yes,Yes,0.8,0.7,0.1,0.1,No effect,Sometimes,Never,Rarely,Never,Sometimes,Never,Rarely,Very frequently,Never,Sometimes,Never,Very frequently,Sometimes,Never,Rarely,Never,AT
0.31,142.0,0.8,-0.11,Rock,-0.2,-1.05,5.0,0,0.45,0.56,-4.36,1.7,14,12.0,Yes,Yes,Yes,0.8,0.6,1.0,0.5,Improve,Sometimes,Sometimes,Rarely,Rarely,Rarely,Very frequently,Sometimes,Never,Never,Very frequently,Never,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,SE
0.64,130.0,0.36,0.48,Rock,-0.19,-0.56,4.0,1,0.66,0.05,-4.36,0.43,13,10.54,Yes,Yes,No,0.71,0.57,0.99,0.57,Improve,Sometimes,Rarely,Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Sometimes,Rarely,Very frequently,Rarely,HN
-0.96,133.0,-1.72,0.96,K pop,-0.2,0.32,-1.86,1,0.56,0.25,-4.37,0.86,16,3.0,Yes,No,Yes,1.0,0.2,0.7,0.8,Improve,Rarely,Never,Sometimes,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Never,Very frequently,Rarely,Sometimes,Never,Never,TR
2.21,133.0,-1.46,-1.71,Rock,8.12,-0.51,-4.01,0,0.56,0.04,-4.37,-1.36,23,3.0,No,Yes,No,0.7,0.6,0.4,0.2,Improve,Rarely,Never,Sometimes,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,SA
-0.93,138.0,-0.73,1.67,Rock,-0.18,-0.64,2.0,1,0.59,0.07,-4.36,1.17,16,2.5,Yes,Yes,Yes,0.2,0.1,0.0,0.0,Improve,Rarely,Sometimes,Never,Very frequently,Never,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Very frequently,Rarely,Never,Very frequently,Rarely,ZA
0.64,135.0,-0.0,-1.9,Rock,-0.18,0.41,5.5,1,0.42,0.05,-4.36,-0.1,14,17.92,Yes,Yes,No,0.49,0.73,0.75,0.5,No effect,Sometimes,Sometimes,Sometimes,Never,Sometimes,Very frequently,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Very frequently,Rarely,Rarely,UA
-0.57,133.0,-2.27,-2.67,K pop,-0.18,1.38,7.0,1,0.56,0.05,-4.36,-2.07,18,5.0,Yes,Yes,Yes,0.7,0.4,0.5,0.6,Improve,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Very frequently,Rarely,Rarely,Never,Very frequently,Rarely,Sometimes,Sometimes,Never,CZ
0.25,133.0,1.33,-1.22,Rap,-0.2,-0.54,-3.38,0,0.56,0.51,-4.36,0.56,18,3.0,Yes,Yes,Yes,0.8,0.9,0.0,0.0,Improve,Rarely,Never,Never,Sometimes,Never,Very frequently,Sometimes,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,SE
-1.02,133.0,-1.5,2.02,Metal,2.38,0.86,-1.49,1,0.56,0.09,-4.36,-0.99,20,0.5,No,Yes,Yes,0.8,0.9,0.6,0.4,Improve,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,TR
-1.02,133.0,-0.73,-0.29,Rock,-0.05,0.33,-2.33,1,0.56,0.03,-4.36,-1.06,19,3.0,Yes,No,No,1.0,0.8,0.6,0.2,No effect,Never,Very frequently,Never,Rarely,Sometimes,Never,Never,Never,Never,Never,Rarely,Very frequently,Never,Sometimes,Very frequently,Sometimes,ZA
-0.23,133.0,-0.46,0.23,Latin,-0.2,-0.48,-2.17,1,0.56,0.05,-4.37,-0.17,17,12.0,Yes,Yes,No,0.0,0.3,0.9,0.5,No effect,Very frequently,Never,Rarely,Rarely,Sometimes,Very frequently,Never,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Sometimes,HK
2.8,133.0,-0.88,-2.07,Latin,8.46,-0.76,-5.93,0,0.56,0.05,-4.36,-2.11,17,12.0,Yes,Yes,No,0.0,0.3,0.9,0.5,No effect,Very frequently,Never,Rarely,Rarely,Sometimes,Very frequently,Never,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Sometimes,SA
0.6,137.0,-1.17,-1.0,Rock,-0.19,0.57,4.5,0,0.74,0.05,-4.36,-0.93,16,0.5,No,No,Yes,0.8,0.0,0.0,0.0,Improve,Sometimes,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Very frequently,Sometimes,LV
-0.86,133.0,0.19,1.11,Rock,-0.2,-0.71,-1.38,1,0.56,0.09,-4.37,1.5,17,5.0,Yes,Yes,No,0.7,0.3,0.9,0.7,Improve,Very frequently,Rarely,Rarely,Sometimes,Rarely,Very frequently,Very frequently,Never,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Sometimes,TR
-1.02,133.0,-0.73,0.86,Rock,-0.2,1.91,-1.17,0,0.56,0.03,-4.37,0.66,19,7.0,Yes,No,No,0.7,0.7,0.0,0.0,Improve,Sometimes,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Rarely,Never,Never,Never,Very frequently,Sometimes,BR
-0.54,133.0,0.28,-0.84,K pop,-0.2,-0.47,-2.36,1,0.56,0.04,-4.37,-1.73,14,2.0,Yes,Yes,Yes,0.4,0.4,0.2,0.2,Improve,Sometimes,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Sometimes,Never,Rarely,Rarely,Rarely,Never,Rarely,TR
-1.06,133.0,-0.71,-0.63,Rock,2.97,3.91,-2.4,1,0.56,0.05,-4.37,-1.23,16,3.0,Yes,Yes,Yes,0.5,0.7,0.1,0.4,Improve,Sometimes,Never,Sometimes,Never,Never,Rarely,Rarely,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Sometimes,ZA
-0.5,133.0,-0.12,0.97,K pop,-0.2,0.04,-2.58,1,0.56,0.05,-4.36,1.22,17,10.0,Yes,Yes,Yes,1.0,0.3,0.0,0.4,Improve,Rarely,Sometimes,Rarely,Rarely,Never,Very frequently,Never,Very frequently,Rarely,Sometimes,Very frequently,Very frequently,Sometimes,Very frequently,Very frequently,Sometimes,VE
-0.26,133.0,-1.13,0.99,K pop,0.27,-0.67,-2.31,1,0.56,0.34,-4.35,1.33,19,1.0,No,Yes,Yes,1.0,0.1,0.0,0.0,Improve,Never,Never,Never,Never,Never,Never,Sometimes,Very frequently,Never,Never,Never,Never,Never,Never,Never,Rarely,TR
